Individual,Symbol,Melting Point (degrees C),Density (kg/m cubed),Price (Pounds Sterling per 100g),Discovery Date,Size of Atom (pm),Atomic Number
Boron,B,2077,2340,150,1808,384,5
Carbon,C,4489,2260,1.2,"30,000 BC",340,6
Lithium,Li,181,534,110,1817,364,3
Bromine,Br,-7,3122,2.6,1826,370,35
Cadmium,Cd,321,8650,24,1817,436,48
Caesium,Cs,29,1873,3400,1860,686,55
Silver,Ag,962,10500,310,"3,000 BC",422,47
Hydrogen,H,-259,0.1,68,1766,220,1
Helium,He,-271,0.2,48,1895,280,2
Nitrogen,N,-210,1.1,13,1772,310,7
Oxygen,O,-219,1.3,7.6,1774,304,8
Fluorine,F,-220,1.6,99,1886,294,9
Neon,Ne,-249,0.8,140,1898,308,10
Sodium,Na,98,971,7,1807,454,11
Aluminium,Al,660,2698,2.6,1825,368,13
Magnesium,Mg,650,1738,3.3,1755,346,12
Silicon,Si,1414,2329,16,1824,420,14
Phosphorus,P,579,2200,5.3,1669,360,15
Sulfur,S,115,2070,1.3,"2,000 BC",360,16
Chlorine,Cl,-102,2.9,18,1774,350,17
Potassium,K,64,862,190,1807,550,19
Calcium,Ca,842,1550,20,1808,462,20
Iron,Fe,1538,7874,1.9,"2,500 BC",408,26
Copper,Cu,1085,8960,4.7,"9,000 BC",392,29
Arsenic,As,817,5780,1100,1250,370,33
Europium,Eu,822,5243,15000,1901,470,63
Osmium,Os,3033,22590,16000,1803,432,76
Gold,Au,1064,19320,8600,"3,000 BC",428,79
Mercury,Hg,-39,13546,11,"1,500 BC",446,80
Lead,Pb,327,11350,2.6,"1,000 BC",404,82